title	dur	artist	album	value	dAdded
Black(Feat. Jennie Kim of YG New Artist)	3:24	G-Dragon	COUP D`ETAT	9	2014-11-21, 5:52 PM
니가 뭔데 (Who You)	3:21	G-Dragon	COUP D`ETAT	9	2014-11-21, 5:52 PM
계획적인 여자 (Feat. Gganmo & Zico Of Block B)	3:34	Giriboy	치명적인 앨범	9	2015-08-17, 5:08 PM
Torture (feat. Eric Krasno)	3:43	Gramatik	The Age of Reason	9	2015-09-28, 9:24 AM
꿍따리 샤바라 (Feat. 클론)	3:49	IU	Flower Bookmark	9	2014-11-01, 2:14 AM
The Age of Worry	2:38	John Mayer	Born and Raised	9	2014-12-24, 6:33 PM
Something Like Olivia	3:01	John Mayer	Born and Raised	9	2014-12-24, 6:33 PM
Day by Day	3:46	Kim Bo Kyung	the FIRST DAY (EP)	9	2014-11-01, 12:59 AM
Alive (Cash Cash & Kalkutta Remix)	5:32	Krewella	Alive - Single	9	2015-07-17, 3:37 PM
Redial (feat. Hatsune Miku)	4:44	livetune	Re:Dial	9	2013-02-27, 4:04 AM
Pixel Empire	4:05	Madeon	Adventure (Deluxe)	9	2015-10-03, 7:29 PM
Aimo	1:33	Nakajima Ai	Macross Frontier Original Soundtrack - Nyan Furo	9	2014-11-21, 5:41 PM
Liar	3:37	ONE OK ROCK	Niche Syndrome	9	2015-05-21, 7:02 PM
Memories	3:22	ONE OK ROCK	35xxxv	9	2015-05-21, 3:43 PM
Fight the night	4:15	ONE OK ROCK	35xxxv	9	2015-05-21, 3:43 PM
Gold	3:56	Owl City	The Midsummer Station	9	2014-12-04, 4:46 PM
Take It All Away	3:31	Owl City	The Midsummer Station	9	2014-12-04, 4:46 PM
Hey Anna	3:52	Owl City	The Midsummer Station (Acoustic) - EP	9	2014-12-04, 4:45 PM
Make My Day!	3:44	Piko	Pikollection "Best+4"	9	2015-07-04, 5:41 PM
Divinity (feat. Amy Millan)	6:08	Porter Robinson	Worlds	9	2015-01-02, 5:00 PM
Sea of Voices	4:59	Porter Robinson	Worlds	9	2015-01-02, 5:00 PM
Fellow Feeling	5:50	Porter Robinson	Worlds	9	2015-01-02, 5:00 PM
그래서 그랬어 (feat.정엽)	4:22	Psy	PSY FIVE	9	2014-11-01, 12:42 AM
Charge	5:43	ryuryu	ephemera	9	2014-11-04, 11:02 PM
집(feat. 이소라)	4:29	Tablo	Fever's End	9	2014-11-01, 12:48 AM
Tomorrow (feat. 태양)	4:13	Tablo	Fever's End	9	2014-11-01, 12:48 AM
링가 링가 Ringa Linga	3:47	Taeyang	Rise	9	2015-09-21, 6:30 PM
Just a Feeling	3:41	Taeyang	Solar	9	2014-11-01, 12:52 AM
Believe*	5:12	Yun*chi	Asterisk*	9	2014-12-24, 6:40 PM
멋진헛간	3:58	오대천왕 (정형돈, 밴드 혁오)	무한도전 영동고속도로 가요제	9	2015-08-22, 1:53 PM
Sweet Devil	3:58	八王子P	Distorted Princess	9	2014-10-31, 8:53 PM
Carry Me Off feat. Hatsune Miku	3:36	八王子P	Twinkle World	9	2014-10-31, 1:46 AM
Dear Boy (Avicii By Avicii)	5:31	Avicii	True: Avicii By Avicii	8	2015-07-27, 4:47 PM
LOSER	3:39	BIGBANG	M A D E - Singles	8	2015-07-02, 4:25 PM
Seasons of Love (From the Motion Picture RENT)	3:03	Cast of Rent	Seasons of Love (From the Motion Picture RENT) - Single	8	2011-10-14, 7:07 AM
Kill This Love	3:54	Epik High	99	8	2015-07-26, 10:01 PM
Some Nights	4:34	Fun.	Some Nights	8	2014-12-24, 6:31 PM
Best I Ever Had	3:46	Gavin DeGraw	Make a Move	8	2015-07-12, 6:51 PM
L.I.P‚s	4:22	Goose house	Milk	8	2015-05-21, 2:57 PM
Every Night	3:36	Imagine Dragons	Night Visions	8	2014-11-01, 1:19 AM
Underdog	3:27	Imagine Dragons	Night Visions	8	2014-11-01, 1:19 AM
Wildfire	4:14	John Mayer	Paradise Valley	8	2014-12-24, 6:33 PM
sepia	3:34	livetune	Crosslight	8	2014-12-24, 6:37 PM
Tell Your World	4:16	livetune	Re:Dial	8	2014-12-04, 4:59 PM
Fantasia	5:18	livetune	To	8	2014-12-04, 4:57 PM
Triangler	5:00	Nakajima Megumi & Sheryl Nome starring May'n	Macross Frontier Original Soundtrack 2 - Nyan Tora.	8	2014-11-21, 5:41 PM
Angels	3:40	Owl City	All Thing Bright And Beautiful - Deluxe	8	2014-12-04, 4:54 PM
Dementia (feat. Mark Hoppus)	3:31	Owl City	The Midsummer Station	8	2014-12-04, 4:46 PM
Natural Light	2:21	Porter Robinson	Worlds	8	2015-01-02, 5:00 PM
