title	dur	artist	album	value	dAdded
Alive	4:51	Krewella	Alive - Single	3	2015-07-17, 3:38 PM
Son of Man	2:44	Phil Collins	Tarzan (Soundtrack from the Motion Picture)	3	2015-07-02, 4:36 PM
Trashin' the Camp	2:15	Phil Collins & Rosie O'Donnell	Tarzan (Soundtrack from the Motion Picture)	3	2015-07-02, 4:36 PM
Tokyo	4:03	YUI	FROM ME TO YOU	3	2015-05-21, 7:09 PM
Catch You Catch Me	3:42	Yun*chi	Ani*Yun - Anime Song Cover	3	2015-10-11, 6:31 PM
Shave It Up	3:11	Zedd	Clarity	3	2014-11-28, 5:05 PM
Dreamer	3:41	AiRI	Dreamer	2	2015-05-01, 8:11 PM
Wake Me Up	4:07	Avicii	TRUE	2	2015-05-01, 8:36 PM
Daniel In The Den	3:09	Bastille	Bad Blood	2	2015-05-01, 8:38 PM
Bad Boy	3:57	BIGBANG	Alive	2	2015-05-01, 8:39 PM
Outside (feat. Ellie Goulding)	3:47	Calvin Harris	Motion	2	2015-07-02, 4:48 PM
We Found Love (feat. Rihanna)	3:36	Calvin Harris	18 Months	2	2015-07-02, 4:49 PM
Paradise	4:39	Coldplay	Mylo Xyloto	2	2015-05-01, 9:13 PM
Every Teardrop Is a Waterfall	4:01	Coldplay	Mylo Xyloto	2	2015-05-01, 9:13 PM
Doin' It Right (feat. Panda Bear)	4:11	Daft Punk	Random Access Memories	2	2015-07-17, 3:35 PM
Our Lawyer Made Us Change the Name of This Song So We Wouldn't Get Sued	3:09	Fall Out Boy	From Under the Cork Tree	2	2015-07-07, 2:08 AM
Sugar, We're Goin Down	3:49	Fall Out Boy	From Under the Cork Tree	2	2015-07-07, 2:08 AM
Hello (feat. Dara)	3:20	G-Dragon	Heartbreaker	2	2015-07-26, 9:19 PM
Queen of California	4:10	John Mayer	Born and Raised	2	2014-12-24, 6:33 PM
Bad Girl Good Girl	3:36	Miss A	Bad But Good	2	2015-07-02, 4:24 PM
Strangers Like Me	3:01	Phil Collins	Tarzan (Soundtrack from the Motion Picture)	2	2015-07-02, 4:36 PM
You'll Be In My Heart (Phil Collins Version)	4:17	Phil Collins	Tarzan (Soundtrack from the Motion Picture)	2	2015-07-02, 4:36 PM
Two Worlds (Phil Collins Version)	2:42	Phil Collins	Tarzan (Soundtrack from the Motion Picture)	2	2015-07-02, 4:36 PM
Trashin' the Camp	2:22	Phil Collins & *NSYNC	Tarzan (Soundtrack from the Motion Picture)	2	2015-07-02, 4:36 PM
You'll Be In My Heart (Soundtrack Version)	1:37	Phil Collins & Glenn Close	Tarzan (Soundtrack from the Motion Picture)	2	2015-07-02, 4:36 PM
Language	6:08	Porter Robinson	Language - Single	2	2015-07-02, 4:43 PM
새벽한시 1AM	3:12	Taeyang	Rise	2	2015-09-21, 6:30 PM
Follow You Down (feat. Bright Lights)	5:47	Zedd	Clarity	2	2014-11-28, 5:05 PM
Hate You	3:33	2NE1	2NE1 2nd Mini Album - EP	2	2015-07-26, 9:43 PM
Don't Stop the Music	3:50	2NE1	2NE1 2nd Mini Album - EP	2	2015-07-26, 9:43 PM
Love Dust	3:52	BIGBANG	Alive	1	2015-05-01, 8:39 PM
DELETE	6:31	capsule	CAPS LOCK	1	2015-05-01, 8:51 PM
12345678	6:08	capsule	CAPS LOCK	1	2015-05-01, 8:51 PM
RETURN	5:16	capsule	CAPS LOCK	1	2015-05-01, 8:51 PM
Thumbs Up (Feat. 김소리) 	3:08	Crispi Crunch	Thumbs Up	1	2015-05-01, 9:13 PM
The Take Over, the Breaks Over	3:34	Fall Out Boy	Infinity On High	1	2015-07-07, 2:08 AM
Heartbreaker	3:23	G-Dragon	Heartbreaker	1	2015-07-26, 9:19 PM
Breathe	3:27	G-Dragon	Heartbreaker	1	2015-07-26, 9:19 PM
